,Optimizer:,lambda,gamma,learning_rate,accuracy
310,RMSprop,0.001,1.0,0.0001,0.631578947368421
311,Adam,0.001,1.0,0.0001,0.8596491228070176
312,Adagrad,0.001,1.0,0.001,0.9239766081871345
313,RMSprop,0.001,1.0,0.001,0.631578947368421
314,Adam,0.001,1.0,0.001,0.7777777777777778
315,Adagrad,0.001,1.0,0.01,0.7953216374269005
316,RMSprop,0.001,1.0,0.01,0.631578947368421
317,Adam,0.001,1.0,0.01,0.8070175438596491
318,Adagrad,0.001,1.0,0.1,0.8070175438596491
319,RMSprop,0.001,1.0,0.1,0.631578947368421
320,Adam,0.001,1.0,0.1,0.8187134502923976
321,Adagrad,0.001,1.0,1.0,0.8187134502923976
322,RMSprop,0.001,1.0,1.0,0.631578947368421
323,Adam,0.001,1.0,1.0,0.8830409356725146
324,Adagrad,0.01,0.0,,0.8187134502923976
325,RMSprop,0.01,0.0,,0.7426900584795322
326,Adam,0.01,0.0,,0.7953216374269005
327,Adagrad,0.01,0.0,0.0001,0.9239766081871345
328,RMSprop,0.01,0.0,0.0001,0.8654970760233918
329,Adam,0.01,0.0,0.0001,0.8596491228070176
330,Adagrad,0.01,0.0,0.001,0.9239766081871345
331,RMSprop,0.01,0.0,0.001,0.8596491228070176
332,Adam,0.01,0.0,0.001,0.7777777777777778
333,Adagrad,0.01,0.0,0.01,0.7953216374269005
334,RMSprop,0.01,0.0,0.01,0.7134502923976608
335,Adam,0.01,0.0,0.01,0.8011695906432749
336,Adagrad,0.01,0.0,0.1,0.8070175438596491
337,RMSprop,0.01,0.0,0.1,0.8011695906432749
338,Adam,0.01,0.0,0.1,0.7953216374269005
339,Adagrad,0.01,0.0,1.0,0.7953216374269005
340,RMSprop,0.01,0.0,1.0,0.7953216374269005
341,Adam,0.01,0.0,1.0,0.7953216374269005
342,Adagrad,0.01,0.0001,,0.8187134502923976
343,RMSprop,0.01,0.0001,,0.7485380116959064
344,Adam,0.01,0.0001,,0.7953216374269005
345,Adagrad,0.01,0.0001,0.0001,0.9239766081871345
346,RMSprop,0.01,0.0001,0.0001,0.8654970760233918
347,Adam,0.01,0.0001,0.0001,0.8596491228070176
348,Adagrad,0.01,0.0001,0.001,0.9239766081871345
349,RMSprop,0.01,0.0001,0.001,0.8596491228070176
350,Adam,0.01,0.0001,0.001,0.7777777777777778
351,Adagrad,0.01,0.0001,0.01,0.7953216374269005
352,RMSprop,0.01,0.0001,0.01,0.7192982456140351
353,Adam,0.01,0.0001,0.01,0.8011695906432749
354,Adagrad,0.01,0.0001,0.1,0.8070175438596491
355,RMSprop,0.01,0.0001,0.1,0.7894736842105263
356,Adam,0.01,0.0001,0.1,0.7953216374269005
357,Adagrad,0.01,0.0001,1.0,0.7953216374269005
358,RMSprop,0.01,0.0001,1.0,0.7953216374269005
359,Adam,0.01,0.0001,1.0,0.7953216374269005
360,Adagrad,0.01,0.001,,0.8187134502923976
361,RMSprop,0.01,0.001,,0.7602339181286549
362,Adam,0.01,0.001,,0.7953216374269005
363,Adagrad,0.01,0.001,0.0001,0.9239766081871345
364,RMSprop,0.01,0.001,0.0001,0.8596491228070176
365,Adam,0.01,0.001,0.0001,0.8596491228070176
366,Adagrad,0.01,0.001,0.001,0.9239766081871345
367,RMSprop,0.01,0.001,0.001,0.8654970760233918
368,Adam,0.01,0.001,0.001,0.7777777777777778
369,Adagrad,0.01,0.001,0.01,0.7953216374269005
370,RMSprop,0.01,0.001,0.01,0.7192982456140351
371,Adam,0.01,0.001,0.01,0.8011695906432749
372,Adagrad,0.01,0.001,0.1,0.8070175438596491
373,RMSprop,0.01,0.001,0.1,0.7777777777777778
374,Adam,0.01,0.001,0.1,0.7953216374269005
375,Adagrad,0.01,0.001,1.0,0.7953216374269005
376,RMSprop,0.01,0.001,1.0,0.7953216374269005
377,Adam,0.01,0.001,1.0,0.7953216374269005
378,Adagrad,0.01,0.01,,0.8187134502923976
379,RMSprop,0.01,0.01,,0.7192982456140351
380,Adam,0.01,0.01,,0.7953216374269005
381,Adagrad,0.01,0.01,0.0001,0.9239766081871345
382,RMSprop,0.01,0.01,0.0001,0.8596491228070176
383,Adam,0.01,0.01,0.0001,0.8654970760233918
384,Adagrad,0.01,0.01,0.001,0.9239766081871345
385,RMSprop,0.01,0.01,0.001,0.8654970760233918
386,Adam,0.01,0.01,0.001,0.8011695906432749
387,Adagrad,0.01,0.01,0.01,0.7953216374269005
388,RMSprop,0.01,0.01,0.01,0.8128654970760234
389,Adam,0.01,0.01,0.01,0.8070175438596491
390,Adagrad,0.01,0.01,0.1,0.8070175438596491
391,RMSprop,0.01,0.01,0.1,0.7543859649122807
392,Adam,0.01,0.01,0.1,0.7953216374269005
393,Adagrad,0.01,0.01,1.0,0.7953216374269005
394,RMSprop,0.01,0.01,1.0,0.7953216374269005
395,Adam,0.01,0.01,1.0,0.7953216374269005
396,Adagrad,0.01,0.1,,0.8187134502923976
397,RMSprop,0.01,0.1,,0.8128654970760234
398,Adam,0.01,0.1,,0.7953216374269005
399,Adagrad,0.01,0.1,0.0001,0.9239766081871345
400,RMSprop,0.01,0.1,0.0001,0.8596491228070176
401,Adam,0.01,0.1,0.0001,0.7894736842105263
402,Adagrad,0.01,0.1,0.001,0.9239766081871345
403,RMSprop,0.01,0.1,0.001,0.8596491228070176
404,Adam,0.01,0.1,0.001,0.7719298245614035
405,Adagrad,0.01,0.1,0.01,0.7953216374269005
406,RMSprop,0.01,0.1,0.01,0.8654970760233918
407,Adam,0.01,0.1,0.01,0.8070175438596491
408,Adagrad,0.01,0.1,0.1,0.8070175438596491
409,RMSprop,0.01,0.1,0.1,0.7251461988304093
410,Adam,0.01,0.1,0.1,0.7953216374269005
411,Adagrad,0.01,0.1,1.0,0.7953216374269005
412,RMSprop,0.01,0.1,1.0,0.7602339181286549
413,Adam,0.01,0.1,1.0,0.7953216374269005
414,Adagrad,0.01,1.0,,0.8187134502923976
415,RMSprop,0.01,1.0,,0.631578947368421
416,Adam,0.01,1.0,,0.7953216374269005
417,Adagrad,0.01,1.0,0.0001,0.9239766081871345
418,RMSprop,0.01,1.0,0.0001,0.631578947368421
419,Adam,0.01,1.0,0.0001,0.8596491228070176
420,Adagrad,0.01,1.0,0.001,0.9239766081871345
421,RMSprop,0.01,1.0,0.001,0.631578947368421
422,Adam,0.01,1.0,0.001,0.7777777777777778
423,Adagrad,0.01,1.0,0.01,0.7953216374269005
424,RMSprop,0.01,1.0,0.01,0.631578947368421
425,Adam,0.01,1.0,0.01,0.8011695906432749
426,Adagrad,0.01,1.0,0.1,0.8070175438596491
427,RMSprop,0.01,1.0,0.1,0.631578947368421
428,Adam,0.01,1.0,0.1,0.7953216374269005
429,Adagrad,0.01,1.0,1.0,0.7953216374269005
430,RMSprop,0.01,1.0,1.0,0.631578947368421
431,Adam,0.01,1.0,1.0,0.7953216374269005
432,Adagrad,0.1,0.0,,0.8187134502923976
433,RMSprop,0.1,0.0,,0.7543859649122807
434,Adam,0.1,0.0,,0.7894736842105263
435,Adagrad,0.1,0.0,0.0001,0.9239766081871345
436,RMSprop,0.1,0.0,0.0001,0.8654970760233918
437,Adam,0.1,0.0,0.0001,0.8596491228070176
438,Adagrad,0.1,0.0,0.001,0.9239766081871345
439,RMSprop,0.1,0.0,0.001,0.8596491228070176
440,Adam,0.1,0.0,0.001,0.7894736842105263
441,Adagrad,0.1,0.0,0.01,0.8011695906432749
442,RMSprop,0.1,0.0,0.01,0.7192982456140351
443,Adam,0.1,0.0,0.01,0.7894736842105263
444,Adagrad,0.1,0.0,0.1,0.7953216374269005
445,RMSprop,0.1,0.0,0.1,0.7894736842105263
446,Adam,0.1,0.0,0.1,0.7894736842105263
447,Adagrad,0.1,0.0,1.0,0.7894736842105263
448,RMSprop,0.1,0.0,1.0,0.7894736842105263
449,Adam,0.1,0.0,1.0,0.7894736842105263
450,Adagrad,0.1,0.0001,,0.8187134502923976
451,RMSprop,0.1,0.0001,,0.7543859649122807
452,Adam,0.1,0.0001,,0.7894736842105263
453,Adagrad,0.1,0.0001,0.0001,0.9239766081871345
454,RMSprop,0.1,0.0001,0.0001,0.8654970760233918
455,Adam,0.1,0.0001,0.0001,0.8596491228070176
456,Adagrad,0.1,0.0001,0.001,0.9239766081871345
457,RMSprop,0.1,0.0001,0.001,0.8596491228070176
458,Adam,0.1,0.0001,0.001,0.7894736842105263
459,Adagrad,0.1,0.0001,0.01,0.8011695906432749
460,RMSprop,0.1,0.0001,0.01,0.7192982456140351
461,Adam,0.1,0.0001,0.01,0.7894736842105263
462,Adagrad,0.1,0.0001,0.1,0.7953216374269005
463,RMSprop,0.1,0.0001,0.1,0.7894736842105263
464,Adam,0.1,0.0001,0.1,0.7894736842105263
465,Adagrad,0.1,0.0001,1.0,0.7894736842105263
466,RMSprop,0.1,0.0001,1.0,0.7894736842105263
467,Adam,0.1,0.0001,1.0,0.7894736842105263
468,Adagrad,0.1,0.001,,0.8187134502923976
469,RMSprop,0.1,0.001,,0.7543859649122807
470,Adam,0.1,0.001,,0.7894736842105263
471,Adagrad,0.1,0.001,0.0001,0.9239766081871345
472,RMSprop,0.1,0.001,0.0001,0.8596491228070176
473,Adam,0.1,0.001,0.0001,0.8596491228070176
474,Adagrad,0.1,0.001,0.001,0.9239766081871345
475,RMSprop,0.1,0.001,0.001,0.8654970760233918
476,Adam,0.1,0.001,0.001,0.7894736842105263
477,Adagrad,0.1,0.001,0.01,0.8011695906432749
478,RMSprop,0.1,0.001,0.01,0.7192982456140351
479,Adam,0.1,0.001,0.01,0.7894736842105263
480,Adagrad,0.1,0.001,0.1,0.7953216374269005
481,RMSprop,0.1,0.001,0.1,0.7894736842105263
482,Adam,0.1,0.001,0.1,0.7894736842105263
483,Adagrad,0.1,0.001,1.0,0.7894736842105263
484,RMSprop,0.1,0.001,1.0,0.7894736842105263
485,Adam,0.1,0.001,1.0,0.7894736842105263
486,Adagrad,0.1,0.01,,0.8187134502923976
487,RMSprop,0.1,0.01,,0.7192982456140351
488,Adam,0.1,0.01,,0.7894736842105263
